store_name,address,store_link
"ZUDIO - CHENNAI, KODAMBAKKAM","Nu-Tech Zarina Towers, Plot no. 4, New Door No 86 & 88, Arcot Road , Chennai - 600024 , Tamil Nadu",https://www.zudio.com/apps/s/zudio/storelocator/tamilnadu/chennai/zudio-kodambakkam-z443
"ZUDIO - VADODARA, NIZAMPURA","JV Translife, Chhani Road, Rukshmani Nagar, Nizampura , Vadodara - 390024 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/vadodara/zudio-vadodara-nizampura-z370
"ZUDIO - BARNALA, EATON PLAZA","HG Eaton Plaza, Bhatinda Road, Village Handiaya , Barnala - 148107 , Punjab",https://www.zudio.com/apps/s/zudio/storelocator/punjab/barnala/hg-eaton-plaza-z644
"Zudio - Bathinda, GT Road","GT Rd, opp. sham dhaba, nr. Mittal Mall Road, Parjapat Colony, Nai Basti , Bathinda - 151001 , Punjab",https://www.zudio.com/apps/s/zudio/storelocator/punjab/bathinda/bhatinda-gt-road
"ZUDIO - SOLAN, G SQUARE MALL","G Square Mall, Ward Number 7 , Solan - 173212 , Himachal Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/himachalpradesh/solan/zudio-g-square-mall-z213
"ZUDIO - AHMEDABAD, SUPREME SQUARE NIKOl","18, Bapa Sitaram Chowk Rd, Parshwanath Township, Krishnanagar, Nikol, Nava Naroda , Ahmedabad - 380038 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/zudio-supreme-square-z499
"ZUDIO - BENGALURU, BALAGERE ROAD","493, Balagere Rd, Devasthanagalu, Varthur , Bengaluru - 560087 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-balagere-bengaluru-z609
"ZUDIO - HALDWANI, NAINITAL ROAD","The Satyartha, Khet No.637 KA, 638 KHA, 638 GHA & 640 GA, Nainital Road , Haldwani - 263139 , Uttarakhand",https://www.zudio.com/apps/s/zudio/storelocator/uttarakhand/haldwani/zudio-haldwani-nanital-z352
"ZUDIO - JAIPUR, MANSAROVAR","Plot No -2, Sunder Nagar, Vistar Iscon Temple Road, Mansarovar , Jaipur - 302020 , Rajasthan",https://www.zudio.com/apps/s/zudio/storelocator/rajasthan/jaipur/zudio-mansarovar-jaipur-z531
"ZUDIO - KOLHAPUR, MIRAJ ARCADE","Miraj Arcade, Railway Colony Road, New Shahupuri , Kolhapur - 416001 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/kolhapur/zudio-miraj-arcade-z156
"ZUDIO - HYDERABAD, NAGARAM","9-884, Keesara Road, Nagaram Village , Hyderabad - 500083 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-nagaram-hyderabad-z489
"ZUDIO - NEW DELHI, METRO STATION PUNJABI BAGH","Metro Station Punjabi Bagh West, Near Shivaji Park , New Delhi - 110026 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-punjabi-bagh-z384
"ZUDIO - GOA, SANQUELIM","Near OLA Experience Center, Opposite to Sheetal Hotel , Vithallapur - 403505 , Goa",https://www.zudio.com/apps/s/zudio/storelocator/goa/vithallapur/zudio-vithallapur-z276
"ZUDIO - INDORE, APOLLO HIGH STREET","Near Scheme No.78, I-Bus Stop, A.B. Road, Khasra No. 303/2, 303/3(K), Opp. Shalimar Township, Niranjanpur , Indore - 452010 , Madhya Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/madhyapradesh/indore/zudio-indore-apollo-highstreet-z541
"ZUDIO - BENGALURU, Yelachenahalli","NS Towers, Site No. 18, Jayachamarajendra industrial Layout, BBMP Ward No. 185, Yelanchenahalli, Kanakapura Road , Bengaluru - 560078 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-bengaluru-kanakapura-z611
"ZUDIO - SEHORE, HARIOM TOWER","Near New Bus Stand, Sekhrakhedi Road, Zone -1, No -4, House No- 353 , Sehore - 466001 , Madhya Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/madhyapradesh/sehore/zudio-sehore-hariom-tower-z544
"ZUDIO - Bengaluru, Aavalahalli Village","SBR Tejas, Sy Nos. 1 & 2, NH75, beside Toyota showroom, Aavalahalli Village , Bengaluru - 560049 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-avalahalli-village-z610
"ZUDIO - Hyderabad, Sanath Nagar","Fairmount Fortune One, Czech Colony, Sanath Nagar , Hyderabad - 500018 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-hyderabad-sanath-nagar-z491
"ZUDIO - Ahmedabad, One Plus Business Park","Naroda - Dehgam Rd, opp. Hanspura Bunglows, Naroda , Ahmedabad - 382330 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/zudio-ahmedabad-nava-naroda-z409
"ZUDIO - Lucknow, Tiwariganj","Tiwariganj, No - 407, Near ramswaroop college, Uttardhona, Faizabad Road , Lucknow - 226028 , Uttar pradesh",https://www.zudio.com/apps/s/zudio/storelocator/uttarpradesh/lucknow/zudio-tiwariganj-uttarpradesh-z452
"ZUDIO - PUNE, BANER","Amar Business Zone, Swati Park, Veerbhadra Nagar , Pune - 411007 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/pune/zudio-pune-baner-z155
"ZUDIO - BENGALURU, COMMERCIAL STREET","77,Near Commercial Street Police Station , Bengaluru - 560001 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/commercial-street
"ZUDIO - HYDERABAD, KUKATPALLY","Plot No.1058/1059,Dharma Reddy Colony, Opp. JNTU Phase 1,MIG :40 , Hyderabad - 500085 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/kukatpally
"ZUDIO - VADODARA, CENTRE SQUARE MALL","Near Genda Circle,Vadi Waadi Road , Vadodara - 390023 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/vadodara/zudio-vadodara-centre-square-mall-z006
"ZUDIO - PUNE, LAXMI ROAD","Kale Building,253 Narayan Peth,Laxmi Road , Pune - 411030 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/pune/laxmi-rd-pune
"ZUDIO - BENGALURU, BANERGHATTA","GF -175 & 176, The Pavilion, Banerghatta Main road , Bengaluru - 560076 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/banergatta-bengaluru
"ZUDIO - JAIPUR, TRITON MALL","Khasra No. 1/1,Village Bassi Sitarampura,Tehsil Sawai,Near Chomu Circle,Jhotwara Road , Jaipur - 302012 , Rajasthan",https://www.zudio.com/apps/s/zudio/storelocator/rajasthan/jaipur/triton-mall-jaipur
ZUDIO - SECUNDERABAD - HYDERABAD,"GF,Alliance Bay, 9-1-109 TO 112,(OLD NO. 45A),SD Road, , Hyderabad - 500003 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/secunderabad
"ZUDIO - HYDERABAD , FORUM SUJANA MALL","Plot No. S-16, Shop No. G-08 A, Survey No. 1009, Kukatpally,KPHB Phase-6 , Hyderabad - 500072 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/forum-hyderabad
"ZUDIO - JALANDHAR, MODEL TOWN","Satya Sai Developers,687-L Model Town , Jalandhar - 144003 , Punjab",https://www.zudio.com/apps/s/zudio/storelocator/punjab/jalandhar/model-town-jalandhar
"ZUDIO - NAGPUR, KADBI CHOWK","Govindam Apartment, Beside MSEB Office , Nagpur - 440004 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/nagpur/nagpur-kampateee-road
"ZUDIO - INDORE, AB ROAD","Benchmark Business Park, Block No. A3 PU 4 SCH No 54,Vijay Nagar , Indore - 452010 , Madhya Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/madhyapradesh/indore/ab-road-indore
"ZUDIO - BENGALURU, GT MALL","Unit No.UG 04,Upper Ground Floor,#92,Magadi Road,Next to Prasanna Theatre , Bengaluru - 560023 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/gt-mall-bengaluru
"ZUDIO - BENGALURU, THE ARCH MALL","18/2,Gopalan,Mysore Road,Raja Rajeswari Nagar , Bengaluru - 560098 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/rr-nagar-bengaluru
ZUDIO - RAJKOT,"City Gold,Trikon Baug Circle , Rajkot - 360001 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/rajkot/rajkot
"ZUDIO - NAVI MUMBAI, KHARGHAR","Mahavir Astha,Plot No. 2,Near Utsav Circle,Sector 7 , Navi Mumbai - 410210 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/navimumbai/kharghar-mumbai
"ZUDIO - BHUBANESWAR, DN REGALIA MALL","DN Square,First Floor,F106,Kalinga Vihar,Patrapada , Bhubaneswar - 751019 , Odisha",https://www.zudio.com/apps/s/zudio/storelocator/odisha/bhubaneswar/dn-regalia-bhubaneshwar
"ZUDIO - SURAT, NEW CITY LIGHT","Unity Corner , Surat - 395007 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/surat-city-light
"ZUDIO - MUMBAI, BORIVALI WEST","Yashprabha CHS, Kastur Park Road, Shimpoli, Borivali West , Mumbai - 400092 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/mumbai/boivali
"ZUDIO - AHMEDABAD, MANINAGAR","Lotus, Unit No. 1,2,3,101,102,103, Near Avkar Hall Cross Roar, Maninagar , Ahmedabad - 380008 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/maninagar
ZUDIO - KOTTAYAM,"Matteethra Legacy, Baker Junction , Kottayam - 686001 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/kottayam/kottayam
"ZUDIO - HUBBALLI, GOKUL ROAD","Next to V2 Retail, Near Big Bazaar , Hubballi - 580030 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/hubballi/gokul-road-hubli
"ZUDIO - HYDERABAD, MADINAGUDA","Swathi Plaza, Plot No. 1 & 25, Madeenaguda Village, Serringampally, Mandal , Hyderabad - 500049 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/madinaguda
"ZUDIO - MUMBAI, GOREGAON","Brijwasi Excellentia, Sonawala Road,Goregaon East , Mumbai - 400063 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/mumbai/brijwasi-excellentia
"ZUDIO - PUNE, F.C. ROAD","Cello Platina, C.T.S No. 1183, Shivaji Nagar , Pune - 411005 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/pune/fc-road-pune
