id_store_locator,latitude,longitude,store_name,retek_code,storeId,shop_opens_days,open_timings,closing_time,pincode,search_word,address,phone_number,store_manager_contact,whatsapp_number,store_image,gender,is_omnienable,hyperlocal_enabled,alteration,is_active,id_brand,distance,is_express_delivery_flag,static_msg,timeLineMsg
2580,8.182833,77.431694,KP Road Nagercoil,62828,62828,,,,629001,"629002, 629003, 629004, 629180, 629201","# 669,KP Road Nagercoil 629001 Tamil Nadu",04652-422770,7745014242,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.37473742259823,0,,
3057,8.182833,77.431694,"Peter England Store, K P Road, Nagarcoil",62828,62828,,,,629001," K P Road, Nagarcoil","# 669,KP Road, Nagarcoil, 629001",,7745014242,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,14.37473742259823,0,,
3721,8.182833,77.431694,"Peter England Store, K P Road, Nagercoil",62828,62828,,,,629001," K P Road, Nagarcoil","No-669, K.P. Road,Nagercoil -629001.                                   ",04652-422770,9488160383,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,14.37473742259823,0,,
647,12.518611,78.213737,"PE Mainline BANGALORE RD, KRISHNAGIRI",62753,62753,,,,635001,"Bangalore Road, 635203, 635120, 635112, 635109, 635803, 635104, "," Peter England, #217, Bangalore road, Opp. Taluk Off., Krishnagiri-635001",04343-232333,8652707053,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,7.547991086113172,0,,
3648,12.518611,78.213737,"Peter England Store, Krishnagiri",62753,62753,,,,635001," Krishnagiri,","Peter England , # 217, Bangalore Road, Opp Taluk Office, Krishnagiri - 635001.",04343-232333,7667019949,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,7.547991086113172,0,,
3546,12.735556,77.826164,"Peter England Store, Bangalore Road, Hosur",62719,62719,,,,635109," Bangalore Road, Hosur","V S Reddy Complex, Old Bangalore Road, Opposite Anna Statue, Hosur - 635 109.",,9535098143,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,11.840893236786467,0,,
681,11.008579,76.959534,"PE Mainline BROOKFIELD PLAZA, Coimbatore",62359,62359,,,,641001,"Brookefield Plaza Mall, Coimbatore, 641001, 641002, 641008, 641024, 641026, 641030, 641036, 641045, 641018"," Peter England, F4 Brookefields, 67-71 Krishnasamy Road, Coimbatore-641001",0422-2255588,9535549539,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.0659359872740166,0,,
4040,11.008579,76.959534,"PETER ENGLAND, Brookefields, Coimbatore",62359,62359,,,,641001,,"PETER ENGLAND, F4,First Floor, Brookefields,67-71 Krishnaswamy Road, Coimbatore-641001",0422-2255588,9894864174,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,1.0659359872740166,0,,
545,11.010417,76.950447,"PE Mainline DB ROAD - RS PURAM, Coimbatore",62515,62515,,,,641002,"R.S.Puram, Coimbatore"," Peter England, 570-572,Vayalooran towers, D.B.Road, R.S.Puram, Coimbatore-641002",0422-2540225,9675559724,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.3768717258614702,0,,
3414,11.010417,76.94989,"Peter England Store, DB Road, Coimbatore",62515,62515,,,,641002," DB Road, Coimbatore","Peter England, 570-572, Vayaluraan Towers, DB Road, R.S.Puram, Coimbatore - 641 002.",0422-4373142,9894983153,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.4065810327580563,0,,
435,11.017056,76.96711,PE Mainline KALYAN COIMBATORE,61306,61306,,,,641012,"Crosscut Road, Coimbatore"," Peter England, 1057 Cross cut Road, Gandhipuram, Coimbatore-641012",0422-4373143,9415406821,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,2.2754095823034914,0,,
4449,11.017155,76.967186,"Peter England Store, Crosscut, Coimbatore",63608,63608,,,,641012,"641006, 641009, 641011, 641012, 641015, 641027, 641037, 641044","No.1030, Crosscut Road, Gandhipuram , Coimbatore
",0422-4954105,9894412138,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,2.289059019747214,0,,
4799,11.025419,76.936539,Peter England,63920,63920,,,,641025,,"No.549, velandipalayam post. Building 276A, VKS Complex, NSR Road, Coimbatore - 641025",0422-2963920,7305090069,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,3.606358567947068,0,,
4687,11.025471,76.93647,Peter England NSR Road,63920,63920,,,,641025,"641003, 641013, 641025, 641029, 641038, 641041, 641043","No,549, velandipalayam post, Building 276A, Vks Complex, NSR Road, Coimbatore - 641025
",0422-2963920,7305090069,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,3.6154407106359927,0,,
8333,11.05639,76.994347,Peter England,66923,66923,,,,641035,,"ADITYA BIRLA FASHION AND RETAIL LIMTED,PETER ENGLAND SHOW ROOM,F02, 1ST FLOOR, AT OLD SIVANANDHA MILLS,PROZONEMALL TAMILNADU COIMBATORE-641035",0422-6628244,,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,7.561015454563824,0,,
