id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
31,Trilium Mall - KFC,"KFC Plot No.C4 Trilium Mall, Opp.Basant Avenue, Medical Enclave Circular Road Pin 143001",31.6587371,74.8786785,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,18,31,Amritsar,Punjab
32,Alpha Mall - KFC,"KFC Alpha One Mall, G.T. Road, Maqbool Pura, Pin 143006",31.619553,74.907419,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,18,32,Amritsar,Punjab
33,Bhatinda - KFC  ,"KFC, Ground Floor, Bhuchan Kalan, Tehsil Pathana, Bernala Road, Pin 151001",30.2228149,75.0627163,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,19,33,Bhatinda,Punjab
151,"HT Mall, Hoshiarpur - KFC","KFC Food Court @HT Mall, Situated At Piplawala Crossing Of Phagwara Jalandhar Bye Pass Hoshiarpur Road, Pin 146001",31.5472024,75.8751624,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,65,151,Hoshiarpur,Punjab
34,Curo Mall - KFC,"KFC Curo High Street, 66 Feet Road, Near Urban Estate - II, Lohar Nangal, Pin 144002",31.2831393,75.5854997999999,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,16,34,Jalandhar,Punjab
35,Jalandhar Highway - KFC ,"KFC Kasra No-867/868, Village - Pagarpur, GT Road, Pin 144003",31.287562,75.661795,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,16,35,Jalandhar,Punjab
36,Jalandhar Model Town - KFC,"KFC Shop No-202, Ground Floor, Rampa Centre Point, Model Town Market, Pin 144003",31.3067083,75.5770267,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,16,36,Jalandhar,Punjab
38,Ansal Plaza - KFC,"KFC Shop No-13, Ground Floor, Ferozpur Road, Opp Circuit House, Pin 141001",30.897707,75.9721224,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,38,Ludhiana,Punjab
39,GK County DT - KFC ,"KFC Restaurant, GK County, Ludhiana Highway, Pin 141015",30.8692182,75.9762585,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,39,Ludhiana,Punjab
40,JMD Mall - KFC,"KFC JMD Govardhan City Centre, Near Jagraon Bridge, G T Road, Pin 141002",30.9110727,75.8514872,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,40,Ludhiana,Punjab
41,Silver Arc Mall - KFC ,"KFC Shop. No.TF 04, 3rd Floor, Silver ARC Mall, Pin 141001",30.9004322,75.8293012,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,41,Ludhiana,Punjab
42,Westend Mall - KFC  ,"KFC Shop No-13-14, Lower Ground Floor, Ferozpur Road, Westend Mall, Pin 141001",30.8856311,75.7881972,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,42,Ludhiana,Punjab
