latitude,longitude,phone_number,link,address,store_name,nearest_location,state
27.10135868,93.6287529,+917979988680,https://restaurants.pizzahut.co.in/pizza-hut-ph-zero-points-tinali-itanagar-pizza-restaurant-cona-county-itanagar-172142/Home,"Zero Point Tinali, NH 52A, Cona County, Cona County, Itanagar - 791113, Itanagar, -, 791113", PH Zero Points Tinali Itanagar ,,Arunachal Pradesh
26.16609295,91.76786017,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-roodraksh-mall-guwahati-pizza-restaurant-bhangagarh-guwahati-304308/Home,"3rd Floor, Food Court, Roodraksh Mall, GS Road, Bhangagarh, Bhangagarh, Guwahati - 781003, Guwahati, -, 781003", PH Roodraksh Mall Guwahati ,,Assam
26.161401,91.76976002,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-gs-road-pizza-restaurant-gs-road-guwahati-12539/Home,"SN 1&2, 1st Flr, Dona Planet, GS Road, GS Road, Guwahati - 781005, Guwahati, -, 781005", GS Road ,,Assam
26.1417801,91.7864801,+919899189206,https://restaurants.pizzahut.co.in/pizza-hut-hatigaon-pizza-restaurant-hatigaon-guwahati-31904/Home,"Dag No 401 & 1443, Hatigaon, Hatigaon, Guwahati - 781005, Guwahati, -, 781005", Hatigaon , Near Hotel Barak Residency ,Assam
26.17227735,91.74865864,+919366715528,https://restaurants.pizzahut.co.in/pizza-hut-ph-rehabari-guwahati-pizza-restaurant-rehabari-guwahati-297820/Home,"House No 70, 1st Flr, Narayan Height, AK Azad Road, Rehabari, Rehabari, Guwahati - 781008, Guwahati, -, 781008", PH Rehabari Guwahati ,,Assam
26.1583462,91.6803797,+919899605847,https://restaurants.pizzahut.co.in/pizza-hut-ph-ncs-square-mall-adabari-pizza-restaurant-adabari-guwahati-130358/Home,"Unit No 2, Food Court, NCS Square Mall, Assam Trunk Road, Adabari, Adabari, Guwahati - 781014, Guwahati, -, 781014", PH NCS Square Mall Adabari ,,Assam
26.1549781,91.7819557,+919899189601,https://restaurants.pizzahut.co.in/pizza-hut-ganeshguri-pizza-restaurant-ganeshguri-kamrup-67061/Home,"SN 5 to 7, 3rd Floor, City Center Mall, Christian Basti, GS Road, Ganeshguri, Ganeshguri, Kamrup - 781019, Kamrup, -, 781019", Ganeshguri , Near International Hospital ,Assam
26.144267,91.741502,+919899410247,https://restaurants.pizzahut.co.in/pizza-hut-ph-lal-ganesh-guwahati-pizza-restaurant-ganapati-nagar-kamrup-127529/Home,"Lal Ganesh, Lokhra Road, Ganapati Nagar, Ganapati Nagar, Kamrup - 781032, Kamrup, -, 781032", PH Lal Ganesh Guwahati , Opposite Rolling Mill ,Assam
26.35520955,92.69250016,+917002011390,https://restaurants.pizzahut.co.in/pizza-hut-ph-itachali-nagaon-pizzerias-norton-nagaon-294179/Home,"Dag No 437 & 941, Ground & 1st Floor, PP No 642, Kisam Town, AT Road, Norton, Norton, Nagaon - 782003, Nagaon, -, 782003", PH Itachali Nagaon ,,Assam
26.41348162,90.2756574,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-jd-road-kokrajhar-pizza-restaurant-j-d-road-kokrajhar-313293/Home,"Ward No 4, H No 159, Ground Floor, J D Road, J D Road, Kokrajhar - 783370, Kokrajhar, -, 783370", Ph Jd Road Kokrajhar ,,Assam
