store_name,store_linnk,store_locality,store_phone_numbers,store_address,store_landmark
V-Mart - Lucknow-Khurram Nagar,https://stores.vmartretail.com/v-mart-lucknow-khurram-nagar-khurram-nagar-lucknow-30840/home,"Khurram Nagar, Lucknow",+919667790293,"Plot No 28 And 29, Khasra No 297, Ward Sankar Purav, Ward Sankar Purav, Near Shri Hans Bhakti Dham(Manav Dharam Ashram Lucknow), Khurram Nagar, Lucknow, Uttar Pradesh, 226012",Near Shri Hans Bhakti Dham(Manav Dharam Ashram Lucknow)
V-Mart - Lucknow,https://stores.vmartretail.com/v-mart-lucknow-shakti-nagar-lucknow-30869/home,"Shakti Nagar, Lucknow",+919369080360,"Shop No 23 And 42, Ground Floor, Harshita Complex, Block B, Faizabad Road, Harshita Complex, Near Rajat B.V.M. Girl's Inter College, Faizabad Rd, Shakti Nagar, Lucknow, Uttar Pradesh, 226001","Near Rajat B.V.M. Girl's Inter College, Faizabad Rd"
V-Mart - Gurdaspur,https://stores.vmartretail.com/v-mart-gurdaspur-sadar-bazar-gurdaspur-31039/home,"Sadar Bazar, Gurdaspur",+919023105780,"Sh 25, Agm Place Tibiri, Agm Place Tibiri, Near Agm mall, hanuman chowk, Police Line, Sadar Bazar, Gurdaspur, Punjab, 143521","Near Agm mall, hanuman chowk, Police Line"
V-Mart - Telibagh,https://stores.vmartretail.com/v-mart-telibagh-telibagh-lucknow-30790/home,"Telibagh, Lucknow",+919773989144,"Shop No 587/78, Lucknow-Allahabad Road, Lucknow-Allahabad Road, Near Shri Vardani Hanuman Ji Mandir, Lucknow - Prayagraj Rd, Telibagh, Lucknow, Uttar Pradesh, 226029","Near Shri Vardani Hanuman Ji Mandir, Lucknow - Prayagraj Rd"
V-Mart - Lucknow-Patrakarpuram,https://stores.vmartretail.com/v-mart-lucknow-patrakarpuram-gomti-nagar-lucknow-42031/home,"Gomti Nagar, Lucknow",+919958550946,"Patrakarpuram Crossing Road, Viram Khand 1, Near Kendriya Vidyalaya, Gomtinagar, Gomti Nagar, Lucknow, Uttar Pradesh, 226010","Near Kendriya Vidyalaya, Gomtinagar"
V-Mart - Chinhat-Lucknow,https://stores.vmartretail.com/v-mart-chinhat-lucknow-chinhat-lucknow-31073/home,"Chinhat, Lucknow",+918448182012,"Krishna Vihar Colony Faizabad Road, National Highway 27, Near Rajat College Of Education & Management,Lucknow, Chinhat, Lucknow, Uttar Pradesh, 227105","Near Rajat College Of Education & Management,Lucknow"
V-Mart - Lucknow-Arjunganj,https://stores.vmartretail.com/v-mart-lucknow-arjunganj-arjunganj-lucknow-30979/home,"Arjunganj, Lucknow",+917428295300,"Khasra No. 1063 & 1064 Sarsawa, Sarsawa, Near MEDIHEALTH MULTISPECIALITY HOSPITAL, Arjunganj, Lucknow, Uttar Pradesh, 226001",Near MEDIHEALTH MULTISPECIALITY HOSPITAL
V-Mart - Pathankot,https://stores.vmartretail.com/v-mart-pathankot-pathankot-gurdaspur-30916/home,"Pathankot, Gurdaspur",+919569712096,"Hb 336, Mission Dalhousie Link Road, Mission Dalhousie Link Road, Near Hotel Opulence, Dalhousie Road, Pathankot, Gurdaspur, Punjab, 145001","Near Hotel Opulence, Dalhousie Road"
V-Mart - Barabanki,https://stores.vmartretail.com/v-mart-barabanki-nawabganj-barabanki-30850/home,"Nawabganj, Barabanki",+919335363371,"Sukhdev Plaza, Faizabad Road, Faizabad Road, Near K. D. Singh Babu Stadium, Barabanki, Nawabganj, Barabanki, Uttar Pradesh, 225001","Near K. D. Singh Babu Stadium, Barabanki"
V-Mart - Guna-Bus Stand Road,https://stores.vmartretail.com/v-mart-guna-bus-stand-road-soni-colony-guna-34975/home,"Soni Colony, Guna",Website,"Bhurelal Gauri Shankar Complex, A B Road, A B Road, Near Jajji bus stand guna, Soni Colony, Guna, Madhya Pradesh, 473001",Near Jajji bus stand guna
