store_name,store_linnk,store_locality,store_phone_numbers,store_address
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sector-3a-gurugram-30556/home,Gurugram,0931 1713 417,"Railway Station Road, Daultabadh Mor, Laxman Vihar Industrial Area, Adjacent Bharat Petrom Pump, Sector 3A, Gurugram, Haryana 122001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-lal-kuan-ghaziabad-30186/home,Ghaziabad,0721 7887 989,"Shop No 6/3, South Side, Silver City Multiplex, Grand Trunk Road, Lal Kuan, Ghaziabad, Uttar Pradesh 201001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-shastri-nagar-ghaziabad-30625/home,Ghaziabad,0721 7888 177,"Plot No 16, Block P, Duplex Flats, Sector 23, Sanjay Nagar, Shastri Nagar, Ghaziabad, Uttar Pradesh 201002"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sector-10a-gurugram-30494/home,Gurugram,0721 7888 400,"Khandsa Road, Near Sunrise Hospital, Sector 10A, Gurugram, Haryana 122021"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-greater-noida-gautam-buddha-nagar-30318/home,Gautam Buddha Nagar,0828 7515 543,"Khata No 425, Khasra No 18K, Surajpur Dadri Raod, Near HDFC Bank, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh 201306"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sector-102-gurugram-39066/home,Gurugram,0999 0017 947,"Lower Ground Floor, Satya The Hive Mall, Sector 102, Gurugram, Haryana 122505"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-govindpuram-ghaziabad-30219/home,Ghaziabad,0767 8272 443,"Shop No 22, Block I, Block E, Main Shatabdipuram Road, Shatabdi Puram, Govindpuram, Ghaziabad, Uttar Pradesh 201013"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-tehsil-gurugram-30655/home,Gurugram,0721 7887 910,"Khasra No 95/13, Village-Badshahpur, Tehsil, Gurugram, Haryana 122101"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-narela-north-west-delhi-30279/home,North West Delhi,0721 7888 389,"Main Safiabad Road, Beside JS Automobiles, Narela, North West Delhi, Delhi 110040"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-greater-noida-gautam-buddha-nagar-30518/home,Gautam Buddha Nagar,0783 8025 797,"Basement 1, Omaxe Mall, Connaught Place, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh 201310"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-dadri-gautam-buddha-nagar-30652/home,Gautam Buddha Nagar,0888 2206 955,"GB Nagar, Ram Vatika Colony, Near Bhagwati Nursing Home, Dadri, Gautam Buddha Nagar, Uttar Pradesh 203207"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sector-89-gurugram-38028/home,Gurugram,0813 0657 001,"Orris Market 89, Hayatpur Chowk, Sector 89, Gurugram, Haryana 122505"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sector-92-gurugram-42000/home,Gurugram,0955 5596 911,"AMB Selfie Street, Main Sector Road, Sector 92, Gurugram, Haryana 122001"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-daboda-khurd-jhajjar-30415/home,Jhajjar,0721 7888 342,"Jhajjar Road, Near Old Bus Stand, Daboda Khurd, Jhajjar, Haryana 124507"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-manesar-gurugram-30628/home,Gurugram,0880 6665 486,"Kasan Road, Near Manesar Bus Stand, Manesar, Gurugram, Haryana 122051"
Vishal Mega Mart,https://stores.vishalmegamart.com/shopping-mart-sohna-gurugram-30317/home,Gurugram,0,"Alwar Road, Near Bus Stop, Gahlot Vihar, Adjacent Indian Bank, Sohna, Gurugram, Haryana 122103"
